Date, Monthly Rate of Return
12/2015,-0.02%
01/2016,0.04%
02/2016,-0.65%
03/2016,1.13%
04/2016,-0.88%
05/2016,0.48%
06/2016,0.04%
07/2016,0.81%
08/2016,-0.32%
09/2016,0.06%
10/2016,0.21%
11/2016,0.72%
12/2016,0.59%
01/2017,0.28%
02/2017,0.45%
03/2017,0.49%
04/2017,0.38%
05/2017,-0.81%
06/2017,-0.03%
07/2017,0.66%
08/2017,0.89%
09/2017,0.47%
10/2017,1.07%
11/2017,0.38%
12/2017,0.55%
01/2018,1.32%
02/2018,-0.87%
03/2018,0.34%
04/2018,-0.13%
05/2018,0.69%
06/2018,-0.58%
